round,accuracy,loss
0,10.0,2.8621982652929763
1,16.29,2.4181611809549453
2,10.88,2.656313129618198
3,30.97,1.9908048306839377
4,19.58,2.146992049639738
5,27.56,2.0773738396318655
6,20.03,2.1925688574585736
7,19.99,2.3068914051297345
8,22.13,2.134224036071874
9,35.87,2.0534209043164795
10,35.48,1.9454325950598415
11,36.77,1.9281064377555364
12,31.07,2.1400718538067007
13,29.55,2.065856268134298
14,33.72,1.8639100895652287
15,26.11,1.976865766923639
16,32.72,1.9112439985516705
17,37.77,1.8107833817035337
18,39.57,1.7700008923494364
19,39.35,1.736113567895527
20,34.48,1.861785568768465
21,42.73,1.6118008019048957
22,33.53,1.7841712643828573
23,29.2,1.8653301528737516
24,26.47,1.923343231406393
25,44.83,1.5571493649784522
26,25.46,2.0224599883526184
27,33.67,1.8871391981462888
28,44.15,1.5910241664210452
29,34.45,1.692063479483882
30,38.75,1.7081452924993974
31,28.9,1.8457171932051453
32,44.92,1.56726465345938
33,46.74,1.5469186155101922
34,43.88,1.5560924931417537
35,31.23,1.785233026818384
36,48.78,1.4493409485756596
37,46.59,1.5092739938180657
38,43.05,1.5855947295321693
39,38.44,1.6707968183710604
40,41.56,1.5827693411066561
41,31.95,1.7919917483873005
42,35.82,1.745911258685438
43,33.05,1.8068630408637132
44,36.89,1.735978585255297
45,39.91,1.6826193045966233
46,48.41,1.5271340608596802
47,43.44,1.590323265594772
48,39.52,1.6303799740875824
49,43.44,1.5425617468507984
