round,accuracy,loss
0,15.6,2.2225498489186735
1,26.95,1.9600535525551326
2,31.54,1.9198194002803368
3,34.62,1.743288387226153
4,38.74,1.6487397317644916
5,38.48,1.6262952949427352
6,42.38,1.555290798597698
7,38.99,1.618659097937089
8,45.58,1.4950277096108546
9,43.21,1.5151477116572707
10,46.89,1.440199643750734
11,43.49,1.5256579933287222
12,49.11,1.4013104951834376
13,48.79,1.3849359237695043
14,46.65,1.4421461382998695
15,50.8,1.3575055025800873
16,47.44,1.4484552733505829
17,49.83,1.3504388151289541
18,48.27,1.4247571335563176
19,48.93,1.3624871863594539
20,50.48,1.343772378148912
21,52.52,1.3140728398214412
22,50.26,1.3483835805820514
23,54.23,1.3097183930722973
24,56.52,1.2322212819811664
25,51.43,1.3371768601333038
26,55.09,1.2682905800734894
27,52.57,1.3061749090122272
28,56.56,1.2373778789858274
29,51.33,1.3321591992921467
30,53.66,1.258049358295489
31,55.74,1.2538019056561627
32,55.79,1.2328200264822078
33,56.49,1.2128498403331902
34,53.68,1.264777028107945
35,54.3,1.2524918287615232
36,56.28,1.2262570360038854
37,56.51,1.2062159127826932
38,57.42,1.1921657512459574
39,55.18,1.2356051915808568
40,54.65,1.2332199977923044
41,58.2,1.174910951264297
42,59.25,1.159233111369459
43,59.35,1.1486386754844762
44,57.02,1.1924552947660036
45,57.35,1.182401253452784
46,56.02,1.2206318468987187
47,57.55,1.1736348150651665
48,56.93,1.213111196892171
49,57.72,1.193788390370864
