round,accuracy,loss
0,16.37,2.1767358689368526
1,21.19,2.1758314024043988
2,30.91,1.9488803797130343
3,35.17,1.668729859062388
4,37.58,1.6680007011075564
5,36.1,1.7062362975712064
6,41.98,1.622578636000428
7,41.54,1.6101545653765714
8,45.3,1.5145596507229382
9,40.67,1.5369275099114528
10,43.53,1.4927444518366946
11,47.93,1.4081943261472485
12,44.16,1.5558834830416908
13,49.37,1.3827559148209005
14,48.08,1.4398615903492216
15,47.25,1.432203523720367
16,50.38,1.368864140933073
17,46.82,1.4376674633991868
18,51.44,1.3451689119580426
19,50.85,1.3686438165133512
20,48.66,1.4095770814750768
21,52.42,1.3107029486306105
22,51.24,1.357742095295387
23,51.41,1.3579772756069521
24,44.3,1.5305242357374746
25,54.18,1.27597911750214
26,48.88,1.4206251660479774
27,52.66,1.2822928519188603
28,53.39,1.3048759593239314
29,54.92,1.264352538917638
30,49.88,1.3517330160623864
31,55.87,1.2481941890112962
32,54.54,1.2562903256355962
33,53.14,1.3229749383805673
34,56.9,1.222021935861322
35,55.29,1.2114226018326193
36,51.93,1.3491472518896754
37,57.3,1.1859596635721907
38,53.27,1.3482000299646884
39,57.13,1.21074026672146
40,52.99,1.3181523522244225
41,53.75,1.3259870794754993
42,56.19,1.2018739543383634
43,57.28,1.2285896901842914
44,56.95,1.205665565744231
45,52.74,1.3231123972542678
46,56.89,1.1860884533652776
47,57.72,1.1965526900713956
48,55.0,1.2636509137817575
49,53.08,1.3066636339018616
