round,accuracy,loss
0,10.0,4.548851640918587
1,10.02,3.808489416219011
2,16.53,2.4711772067637385
3,10.0,3.905518085141725
4,22.39,2.4356857764570017
5,23.45,2.460886574998687
6,33.53,2.272615047949779
7,29.95,2.065866951701007
8,35.48,2.2065076767643794
9,31.77,2.079596570775479
10,24.95,2.3270448853697956
11,33.02,2.252748961690106
12,33.15,1.8535907253434387
13,37.3,1.8887070779558979
14,33.78,2.144403510455844
15,40.76,2.0750748205788527
16,27.49,2.151383439196816
17,33.31,2.0450132647647132
18,25.07,3.126627239999892
19,31.61,2.822238327581671
20,11.77,4.3938693034498
21,28.94,2.115671344950229
22,30.74,2.3693183494519583
23,38.88,1.8146125742151766
24,39.37,2.2327510284472116
25,27.34,2.1939585239072388
26,44.18,1.7250763781463043
27,25.72,2.601927186869368
28,41.04,2.0835255580612375
29,45.35,1.5369350729109366
30,45.41,1.6598040951958186
31,19.28,3.3871329494669467
32,32.76,2.1773174065577834
33,38.52,2.2821312871160386
34,46.16,1.6060360926616042
35,38.69,1.9487149202370946
36,27.31,2.4600088385087027
37,39.64,1.8586716923532607
38,37.6,2.354667725442331
39,27.55,2.665969305400607
40,23.37,2.643264924423604
41,36.9,1.9020364088348196
42,23.32,2.7095010401327397
43,43.8,1.7627207795275917
44,38.41,1.9108468761926964
45,40.4,1.937942213649991
46,47.71,1.673455401311947
47,48.58,1.554794166661516
48,44.28,1.9459523445443263
49,44.26,1.6445273070395747
