round,accuracy,loss
0,14.0,2.3700606189196622
1,27.06,2.451690393158152
2,20.79,2.2703377928914903
3,27.64,1.9566891495185563
4,25.27,2.0952233513699303
5,27.01,2.378126678587515
6,29.19,1.8823933209045023
7,36.07,1.7230358380305617
8,30.08,2.2743500833269916
9,34.66,1.7752751504318625
10,32.94,1.7736176478711865
11,34.43,1.8031680538684507
12,37.99,1.7356727123260498
13,39.03,1.7053894906104365
14,34.31,2.109917753859411
15,33.48,1.8640874231917948
16,34.97,1.946877974498121
17,40.07,1.6628241539001465
18,40.76,1.6002505293375329
19,35.99,1.8723819301098208
20,39.31,1.7028672830967964
21,37.57,1.851994380166259
22,38.74,1.773748421970802
23,35.59,1.9594766173181655
24,42.87,1.5449746062483969
25,42.33,1.544089969200424
26,42.85,1.571725537505331
27,44.94,1.475042237511164
28,41.15,1.5887652560125423
29,47.48,1.384564168845551
30,38.58,1.9716563194612913
31,44.34,1.51079000853285
32,39.36,1.7969257258161713
33,42.75,1.5978262650815747
34,40.69,1.789807941340193
35,47.27,1.4299972917460189
36,39.76,1.9170072546488122
37,48.07,1.4258359323574017
38,47.6,1.435214318806612
39,43.47,1.6685136405727532
40,45.28,1.5020353130147428
41,41.55,1.7437683841850184
42,46.43,1.4908649951596804
43,39.88,1.874256370942804
44,50.74,1.3688156393509876
45,48.94,1.4269651415981823
46,43.26,1.6695201683648024
47,46.79,1.5371480561509918
48,48.82,1.4455173800263224
49,45.21,1.6404721027688136
