round,accuracy,loss
0,10.0,2.821317564083051
1,11.28,2.262249629708785
2,12.49,2.376066539860979
3,17.61,2.319080262244502
4,28.25,2.035461784918097
5,21.02,2.1665260701239863
6,29.73,2.032368803326088
7,34.97,1.8572405154191995
8,31.67,1.9186963567250892
9,26.08,2.006434522097624
10,35.77,1.8078238903721677
11,26.87,1.9553503929814207
12,32.23,1.953372425670865
13,36.04,1.804512312140646
14,37.21,1.7690322233151785
15,32.37,1.9075282661220696
16,27.75,1.940562371966205
17,37.85,1.788054502463039
18,30.72,1.9767175188547448
19,34.23,1.8409250914296018
20,44.37,1.584385633468628
21,39.39,1.7643889716908903
22,40.87,1.6783024389532548
23,36.75,1.7820853477791896
24,43.8,1.650327374663534
25,30.89,1.781053979185563
26,41.21,1.6610954833936087
27,37.68,1.709819049774846
28,38.04,1.6612163616132132
29,34.75,1.8117700815200806
30,35.44,1.7844416099258615
31,45.9,1.5767314690577834
32,43.61,1.6397211415858208
33,46.43,1.5293072990224332
34,31.02,1.8060132551796828
35,44.54,1.5644735429860368
36,35.75,1.7154721232909191
37,45.17,1.5518671741968468
38,40.8,1.6026849746704102
39,38.29,1.642060227031949
40,44.0,1.5686336816111697
41,44.91,1.5406294593328163
42,51.17,1.4067703334591057
43,45.66,1.5403075278559817
44,48.96,1.448775113383426
45,47.66,1.5211222111424314
46,45.83,1.5128750076776818
47,38.43,1.6406164169311523
48,36.56,1.6683508263358586
49,47.01,1.4851035860520374
