round,accuracy,loss
0,10.0,2.7406902765925927
1,10.68,2.4039715090884437
2,19.51,2.2418318126775043
3,29.9,2.157699557799327
4,28.21,2.0739497700824012
5,25.46,2.1376336677164973
6,30.21,2.1113203054741967
7,34.43,1.9517865829829928
8,35.76,1.9389676972280574
9,26.88,2.0959320415424396
10,33.45,1.8887974340704423
11,28.69,2.039817443376855
12,21.53,2.103139137919945
13,39.68,1.798672166051744
14,27.78,2.116986484467229
15,28.53,2.106208627737021
16,36.69,1.968655305572703
17,29.59,1.968594807612745
18,38.75,1.698492415343659
19,27.59,2.024252019351042
20,44.01,1.680659627612633
21,25.14,2.0432544901401184
22,44.65,1.5393286490742164
23,37.63,1.7689125598231448
24,33.04,1.879564790786067
25,28.18,2.0487491616719886
26,35.11,1.7935045459602452
27,29.4,1.8980200532116467
28,35.45,1.8413785182977025
29,30.2,1.9791362421422065
30,30.38,1.9338333501091487
31,40.22,1.6243455515632146
32,27.6,1.9805924077577228
33,41.78,1.659777417967591
34,45.39,1.5302393557150153
35,33.61,1.7299103238914586
36,38.75,1.699770580364179
37,45.92,1.5003244499616986
38,39.52,1.6474600351309474
39,43.05,1.5666310349597206
40,36.95,1.6982672516303727
41,48.18,1.4711754125884817
42,47.52,1.5996218980113162
43,43.88,1.5817717223227779
44,46.25,1.4592473914351645
45,42.28,1.5727056204518186
46,50.05,1.4330154793171943
47,42.91,1.5959588772133937
48,47.28,1.4760016746158842
49,42.48,1.561640713788286
