round,accuracy,loss
0,17.88,2.304740972156766
1,26.34,1.8508458786372897
2,29.91,1.8191280757324606
3,39.67,1.629315733909607
4,34.73,1.745070019854775
5,38.8,1.627176803878591
6,42.53,1.550683241856249
7,42.75,1.5734299511849126
8,42.77,1.5817716272571418
9,45.99,1.4828265754482415
10,42.12,1.6212285440179366
11,41.29,1.5545720088331005
12,47.07,1.4294502056097682
13,48.76,1.3814768066889123
14,47.23,1.4562611444086968
15,52.08,1.3136570483823367
16,50.42,1.3335732327231877
17,49.36,1.3845226432703719
18,48.68,1.4009563998330998
19,48.28,1.4317028341414053
20,51.9,1.3058591801908952
21,48.88,1.4151898969577839
22,53.25,1.3106917233406743
23,54.27,1.253253247918962
24,51.31,1.3413342584537555
25,51.17,1.3589424121228955
26,53.32,1.2827350821676133
27,51.67,1.3424923721748063
28,52.83,1.3040454221677176
29,50.63,1.3821709457832048
30,53.51,1.2864457957352264
31,55.24,1.2255610295488863
32,55.59,1.2094704327704031
33,56.66,1.2126802032506918
34,52.96,1.330025804193714
35,56.81,1.178932682622837
36,52.72,1.2983347147325925
37,53.44,1.3229636708392372
38,56.6,1.1963163040861298
39,51.06,1.3583362449573566
40,53.38,1.2996224225321902
41,55.3,1.2893052915983563
42,56.19,1.2282496456858478
43,59.31,1.1340806250330768
44,58.05,1.1837191310109971
45,52.3,1.3415137770809704
46,57.75,1.178341581097132
47,58.56,1.1560531062415884
48,58.35,1.1409548377688927
49,57.79,1.1908043094828158
