round,accuracy,loss
0,10.0,3.7328865769543227
1,10.77,3.707724109480653
2,20.45,2.2636306859269926
3,16.41,3.003626102133642
4,26.65,2.451733147041707
5,13.13,3.0147774581667743
6,24.08,3.078353869764111
7,25.98,2.1783323408682134
8,23.91,2.894648582120485
9,28.91,2.132924129691305
10,37.87,1.936521901360041
11,25.64,2.593268192267116
12,20.8,2.9739639306370216
13,27.49,2.5357851710500596
14,39.19,2.0180539254900776
15,36.58,2.078558974628207
16,39.38,1.8955185398270813
17,13.77,4.001666268215904
18,35.48,2.0950342929815946
19,31.55,2.3587109001376962
20,22.88,2.5273876190185547
21,28.19,2.5558636822277987
22,38.93,1.7989519577992112
23,37.8,2.43382712557346
24,25.21,2.5097940541520902
25,40.2,1.7745554130288619
26,35.02,1.9493561605863934
27,16.45,3.290450588057313
28,44.07,1.7147223873983455
29,26.01,2.8548140555997437
30,44.87,1.6437836855272703
31,35.37,1.9303459442114528
32,44.78,1.6945058620428737
33,40.11,2.1208598870265334
34,47.67,1.5946059347708015
35,33.04,2.3173022436190256
36,44.65,1.7508367073686817
37,25.52,2.443055288701118
38,30.49,2.185488445849358
39,41.23,2.0745576589922363
40,29.68,2.338237229781815
41,24.31,2.600439919701105
42,23.36,2.659397122226184
43,47.29,1.578004440174827
44,42.29,2.300725212580041
45,46.14,1.7073866853231117
46,21.32,3.177392404290694
47,44.92,1.7625447738019726
48,45.99,1.7296494170080257
49,41.2,2.141014524652988
