round,accuracy,loss
0,15.81,2.3097652121435237
1,29.86,1.8737553327898435
2,39.78,1.6395639935626258
3,37.97,1.6725194499462466
4,35.22,1.696356344826614
5,38.5,1.6121319653112678
6,40.92,1.5691876532156257
7,45.02,1.495237540595139
8,41.59,1.58725449405139
9,46.96,1.444442223898972
10,45.18,1.5129198952566218
11,49.37,1.3986953572381902
12,45.73,1.4989330979842175
13,50.83,1.3594029764585858
14,47.54,1.4717820279205902
15,49.46,1.3945932946627653
16,49.38,1.4216182111184807
17,50.27,1.4366524023345755
18,51.74,1.3205036694490457
19,53.55,1.3005674292769613
20,51.64,1.3384771543213083
21,53.94,1.3136584683309627
22,51.68,1.3128104994568643
23,55.74,1.24442988181416
24,54.14,1.2668985490557514
25,54.43,1.2889818918855884
26,51.84,1.3324165766752218
27,53.67,1.2951782594753216
28,53.65,1.2795081214059758
29,57.92,1.1657892088346844
30,57.59,1.184897117976901
31,57.93,1.1683644765540013
32,57.08,1.2037896898728382
33,56.69,1.2180977984319759
34,52.27,1.324785395513607
35,58.47,1.1615295606323435
36,57.94,1.2190036087096492
37,57.47,1.2009611710717407
38,57.48,1.2312383591374265
39,55.13,1.252976586547079
40,58.44,1.1865841278546974
41,57.25,1.242436655714542
42,58.03,1.1918991230711151
43,57.09,1.2334826022763796
44,59.62,1.1609036658383622
45,59.26,1.16222712284402
46,56.93,1.2004049578799476
47,61.38,1.1028821453263489
48,53.85,1.3051736898060087
49,60.36,1.127119316330439
