round,accuracy,loss
0,20.57,2.220974409127537
1,18.8,2.3770425198953364
2,25.54,2.0645351047757305
3,26.67,2.0696784740761864
4,30.62,1.9698320989367328
5,30.11,1.895086173769794
6,31.38,1.8962626306316521
7,36.73,1.7786397179470788
8,29.28,1.9955918834179263
9,38.84,1.7226191894917549
10,33.24,1.8409052981606013
11,35.14,1.7295386429074444
12,35.77,1.7080391901957839
13,33.65,1.8470558471317533
14,38.3,1.7032805500151236
15,34.03,1.8655168723456468
16,42.0,1.5850818821146517
17,39.2,1.6798237848885451
18,32.71,1.8725381863268116
19,39.99,1.6591881890840168
20,36.82,1.7554298005526578
21,41.28,1.537056876134269
22,38.65,1.6532126046434235
23,38.58,1.6857534345192244
24,45.67,1.5164053138298323
25,37.63,1.7547293871263914
26,45.71,1.509330179117903
27,41.63,1.6050594637665567
28,44.32,1.5149837098544157
29,45.96,1.4839214327969128
30,45.49,1.4654429622843295
31,42.28,1.5731688828407964
32,43.42,1.5374688604209996
33,42.09,1.5940001448498498
34,48.79,1.4131030221528644
35,43.37,1.5144301336022872
36,49.44,1.4348241769814793
37,48.89,1.420317435566383
38,42.75,1.5672365955159635
39,46.13,1.4398918257483952
40,42.16,1.561905874481684
41,46.66,1.431542941286594
42,48.37,1.3742140908784504
43,50.13,1.3798325695569003
44,46.76,1.4605934831160534
45,48.11,1.4043723208994805
46,46.61,1.4492671610433845
47,46.33,1.4736710862268376
48,50.76,1.3231040028077137
49,49.36,1.3949653438374967
