round,accuracy,loss
0,17.14,2.2301429555385925
1,24.54,2.5210164619397513
2,22.19,2.3156960523581205
3,28.36,2.2720952124535283
4,21.19,2.1537478981138785
5,29.47,2.19924552531182
6,34.5,1.7352487437332733
7,33.71,1.8517349867881099
8,34.47,1.7960683424261552
9,36.19,1.6660533630395238
10,33.33,2.0195208501212205
11,38.74,1.668224503722372
12,36.03,1.7034916545771346
13,37.74,1.8710513778879672
14,40.26,1.5766562479960768
15,34.33,1.8055413885961604
16,39.08,1.7347612305532527
17,39.52,1.6304849371125427
18,40.04,1.5806522972976105
19,40.48,1.517410466942606
20,41.04,1.6378503434265717
21,43.21,1.5109154589568512
22,44.35,1.4818276408352429
23,40.18,1.654673621624331
24,45.14,1.4760037600239622
25,42.45,1.5812050722822357
26,41.61,1.5670747802227358
27,40.22,1.7704273643372934
28,40.12,1.6960775520228133
29,40.24,1.7601335048675537
30,43.55,1.486309887487677
31,43.48,1.5210623152648346
32,40.0,1.9004128115086616
33,46.58,1.445738464971132
34,45.88,1.4806257637241218
35,39.66,1.7379510523397712
36,42.98,1.6397762781457057
37,46.9,1.3878736631779731
38,43.49,1.6519019935704484
39,46.73,1.4548551840118216
40,46.69,1.418879107583927
41,43.7,1.5982609504385838
42,44.02,1.515047341962404
43,47.29,1.4901090105877648
44,46.24,1.5176666778854178
45,50.11,1.3786937601958649
46,41.58,1.792848994460287
47,50.09,1.3880864381790161
48,43.47,1.6541387023805063
49,45.09,1.5679067267647273
