round,accuracy,loss
0,10.0,4.694528543496434
1,16.21,2.7605987530720384
2,17.59,2.8957977989051917
3,17.33,2.522350498392612
4,31.47,2.18980938422529
5,17.3,3.099829224091542
6,25.23,2.902280161652384
7,19.72,2.9256234169006348
8,26.73,2.3304953650583196
9,31.22,2.2717222956162466
10,19.3,2.825820657271373
11,30.84,2.08845656431174
12,40.21,1.726713642289367
13,21.88,2.631734431544437
14,26.44,3.388863786866393
15,39.92,2.1996640057503423
16,33.24,1.9364783069755458
17,37.0,2.3981573264810105
18,37.06,1.8908924015262458
19,17.47,3.7497090237050115
20,42.02,1.6986672501020794
21,28.1,2.3313768604133704
22,42.68,1.8163778947878488
23,19.45,3.517491832564149
24,40.78,1.7189385392997838
25,24.65,2.580673564838458
26,28.21,2.9177173511891423
27,26.24,2.6098855235908607
28,43.78,1.854512389702133
29,22.35,2.9654281350630747
30,23.16,2.785422068607958
31,25.97,2.9142972487437575
32,47.14,1.4936800938618333
33,43.2,1.8162253793281844
34,44.22,1.7304625556438784
35,37.69,1.8539224847962585
36,43.97,1.7070283542705487
37,19.0,3.56172712241547
38,29.93,2.258642104607594
39,43.9,1.849336105056956
40,46.61,1.5342184033574937
41,32.69,2.377795059469682
42,31.63,2.470825329611573
43,12.18,4.046658286565466
44,45.39,1.7453376613085783
45,45.11,1.7943407191505916
46,43.47,1.9568851205367077
47,46.72,1.6744479620004002
48,42.34,1.718165812613089
49,45.12,1.8060657449915438
