round,accuracy,loss
0,10.0,4.324797690669192
1,17.46,2.6990944463995437
2,18.92,2.2049983905840524
3,13.63,3.156947727444806
4,28.51,2.173437883582296
5,22.06,2.8902021510691585
6,24.41,2.5579758505277996
7,30.28,2.0383955542045302
8,34.0,2.083604055114939
9,32.85,1.975187197516236
10,38.11,1.9366353146637543
11,37.4,1.9714418272428875
12,29.79,2.205001218409478
13,37.14,2.090072695213028
14,35.31,1.9390801493125627
15,37.84,2.2764140186430533
16,22.37,2.687917661063279
17,36.98,1.741244592244112
18,36.52,2.1485255835931514
19,27.21,2.392699078668522
20,40.0,1.8010576933245115
21,41.19,2.370564515077615
22,39.38,1.7998495765879183
23,44.98,1.5841605195516273
24,47.84,1.5875960965699787
25,40.15,1.8514930371996723
26,44.29,1.841200200817253
27,20.74,3.8194976064223276
28,44.01,1.692872715901725
29,30.65,2.2113529368291927
30,40.35,2.2988358509691458
31,40.79,1.70004485830476
32,43.07,1.657242814196816
33,50.32,1.4316722003719475
34,31.77,2.4594484597821777
35,44.37,1.6309220866311955
36,45.61,1.8767968778368793
37,47.41,1.5504065555862234
38,35.94,2.920176729371276
39,35.21,2.127860778494726
40,48.85,1.4144885419290276
41,39.81,2.5508163850518724
42,38.39,2.0708413003366206
43,49.35,1.5882680189760425
44,24.14,3.0252414956877502
45,48.29,1.8590497019924694
46,44.0,1.6313472292091273
47,48.97,1.5226559397540516
48,44.92,1.8512198562863507
49,45.62,1.5627284759207616
