round,accuracy,loss
0,10.0,4.304206144960621
1,15.84,3.3796459904199914
2,14.77,2.3556408248370206
3,25.61,2.154030105735682
4,12.04,2.454744429527959
5,12.62,4.552626458904411
6,26.99,2.13733466667465
7,29.98,2.1827793574031396
8,29.67,2.2660117451148696
9,20.99,2.9748739411559284
10,28.84,2.248636431331876
11,23.55,2.218235762813423
12,24.63,2.418679065342191
13,31.47,2.335477174082889
14,38.07,1.758100675631173
15,37.69,1.9064621623558333
16,41.48,1.7289329163635834
17,42.37,1.9084696332110633
18,22.12,3.341945974132683
19,36.07,2.1209260904336276
20,37.61,1.954159312610385
21,39.29,1.8209616715394998
22,43.46,1.6971544117867192
23,39.15,2.0087220412266404
24,40.2,1.8298591541338571
25,42.19,1.6561429545849184
26,17.16,4.0083413305161875
27,36.07,2.0909105162077313
28,39.3,1.6908304600775996
29,42.05,1.8249898530259918
30,27.24,2.233782878404931
31,35.55,2.0649725741977933
32,45.67,1.7417953980119922
33,37.12,1.9704226104519036
34,22.33,2.775896724266342
35,41.25,1.9579157210603546
36,27.95,2.4938806763178185
37,44.95,1.6267613081992427
38,38.93,2.1101623592497427
39,41.57,1.6655109592630892
40,47.43,1.4967395248292368
41,43.34,1.9167189039761507
42,27.81,1.9089893027196956
43,47.46,1.4677361476270459
44,47.67,1.5542844579189639
45,47.27,1.51533010488824
46,32.05,2.115799028662187
47,42.6,1.9655141091044945
48,24.59,2.7985609543474417
49,17.13,4.068764807302741
