round,accuracy,loss
0,10.0,4.23203607148762
1,16.87,2.3992255035834975
2,16.57,3.1722484087642235
3,15.61,2.7277977738199355
4,27.52,2.1387059039707426
5,12.86,3.069405960131295
6,18.73,2.9027481079101562
7,27.8,2.4953028039087224
8,29.03,2.507720090165923
9,25.12,3.021219202234775
10,24.94,2.238982408861571
11,28.37,2.042955787875984
12,34.38,2.3276536404332027
13,35.77,1.9326413673690603
14,25.51,3.0886097376859643
15,19.28,2.6937106772314143
16,41.22,1.6792034785958785
17,38.21,1.9727372489398038
18,25.77,2.4745080591757085
19,23.5,2.631209765808492
20,40.77,2.0008001387873784
21,37.9,1.8073155955423283
22,40.08,1.8037955896763862
23,43.35,1.8370293363740173
24,39.73,1.803435794914825
25,42.44,2.0708202546155907
26,40.5,1.8358185351649416
27,29.49,2.1589052797872808
28,46.23,1.59111782116226
29,43.23,1.616974175730838
30,26.65,2.286948042579844
31,40.07,2.150517521025259
32,34.1,1.9727102050298377
33,43.84,1.6097706148896036
34,38.68,2.4786360927774935
35,38.65,1.748823591425449
36,38.11,2.610853451716749
37,52.18,1.3644231044793431
38,40.45,1.8357577067387254
39,35.78,1.9323601767986636
40,31.74,2.1833294252806072
41,25.41,2.9656343701519545
42,44.84,1.6904018513764008
43,34.78,1.8932221207437636
44,46.87,1.6167705330667617
45,38.33,1.9586018384257449
46,39.5,1.9371975856491281
47,40.75,1.8852178341225734
48,48.07,1.7578195197672783
49,44.25,1.682991160622126
