round,accuracy,loss
0,10.0,2.74837683424165
1,18.74,2.261250040199183
2,21.6,2.2569097476669504
3,16.12,2.3849753126313415
4,28.49,2.117452924764609
5,18.24,2.190192210523388
6,28.02,2.0884647233576716
7,22.06,2.1708684842797776
8,33.21,2.0118112609356262
9,22.77,2.243716992909395
10,32.55,1.856445212907429
11,24.99,2.0462587392782865
12,36.32,1.7890807722188249
13,32.77,2.012184337724613
14,32.62,1.9668143504782567
15,34.55,1.919056673593159
16,30.81,1.9022962307628197
17,37.5,1.8740783175335656
18,26.03,2.0338258577298514
19,29.11,1.9784995091112354
20,38.93,1.7210663240167159
21,32.98,1.8764816069904762
22,38.47,1.843109001087237
23,37.46,1.79517824287656
24,37.84,1.78535926794704
25,35.92,1.7849187534066695
26,37.86,1.6731901168823242
27,38.17,1.7009917754161208
28,36.31,1.7626346394985537
29,40.04,1.6978228665605377
30,44.54,1.5864526576633695
31,39.19,1.7932010828694211
32,45.33,1.5446829071527794
33,32.29,1.7435734136195122
34,42.04,1.6669445430176169
35,35.45,1.7539999153040633
36,30.29,1.784746995455102
37,38.57,1.8212248192557805
38,41.89,1.6158777550805974
39,41.96,1.6779603958129883
40,38.37,1.6881860600242131
41,41.15,1.7041700852068165
42,34.72,1.8608033521265923
43,46.62,1.6342753171920776
44,44.29,1.5819858659671833
45,44.72,1.5635018605220168
46,36.26,1.746114276632478
47,43.32,1.607498997374426
48,43.74,1.6511152379120453
49,30.0,1.8476684033116209
