round,accuracy,loss
0,10.0,2.670845852622503
1,17.75,2.236520498613768
2,10.01,2.379413070557993
3,24.84,2.143292668499524
4,17.77,2.335415957849237
5,28.92,2.015556807759442
6,21.41,2.265569590315034
7,31.83,1.9222707522066333
8,29.38,2.127666957770722
9,36.72,1.8040131556836865
10,29.29,2.078547287590896
11,35.97,1.901621777800065
12,24.68,2.2152121700818026
13,36.6,1.7240132183968266
14,36.49,1.808424472808838
15,34.75,1.8391960768760005
16,39.48,1.7323713936383212
17,31.05,1.8752218107633953
18,32.45,1.7973930956442146
19,40.25,1.7666600263571437
20,42.54,1.6693282233008855
21,33.45,1.8020600472824484
22,44.41,1.6556926980803284
23,32.46,1.8696856498718262
24,41.91,1.6478149966348576
25,42.75,1.6803357012664215
26,43.8,1.6368786277650278
27,39.02,1.7724812196779856
28,36.48,1.7520262727254554
29,42.84,1.5984634070456782
30,34.59,1.8888766825953616
31,44.55,1.5508977929248084
32,42.94,1.626870277561719
33,40.59,1.652204081981997
34,43.48,1.595656087126913
35,40.23,1.7625488027741638
36,43.18,1.6183048909223532
37,40.88,1.6786632915086384
38,42.64,1.6108749410774135
39,42.93,1.6789151430130005
40,43.52,1.6927520278133923
41,45.36,1.579452703270731
42,37.27,1.8331129716921457
43,40.64,1.6366908384274832
44,45.0,1.5343449145932742
45,40.49,1.6497662429568134
46,41.21,1.6095157333567172
47,43.36,1.6419831318191336
48,44.57,1.5429497881780696
49,40.03,1.6830850749076167
