round,accuracy,loss
0,10.0,2.7887369590469553
1,15.77,2.3190452026415476
2,15.92,2.267987281461305
3,20.02,2.217987259732017
4,19.51,2.336032303073738
5,20.94,2.264666919466815
6,34.1,1.964116970195046
7,27.79,2.1372549579113342
8,22.8,2.2700598602053486
9,32.06,2.0378237434580355
10,21.63,2.411429338817355
11,26.69,2.1405077040949956
12,36.18,1.820047837269457
13,26.31,2.163897822174845
14,39.02,1.7769951654385916
15,26.93,2.172243611722053
16,26.63,2.1560981801793546
17,37.72,1.8280010057401053
18,34.84,1.965683920473992
19,38.84,1.8102531795260273
20,29.89,1.9015613749057432
21,37.21,1.8189489328408543
22,30.14,1.9528096446508094
23,39.51,1.6914094248904457
24,30.11,1.896032781540593
25,44.9,1.630179767367206
26,26.0,1.9908349785623671
27,44.13,1.6635034838809242
28,44.31,1.651218065732642
29,37.7,1.840313365187826
30,42.74,1.6819878695886346
31,40.19,1.778377293031427
32,40.52,1.672193472898459
33,46.82,1.6544762065138998
34,44.3,1.598886316335654
35,33.78,1.8211499030077005
36,35.2,1.838054584551461
37,32.94,1.8573223820215539
38,40.01,1.7915903857991666
39,27.99,1.9805735198757317
40,46.05,1.6680136903931824
41,27.6,1.9858783996557887
42,46.16,1.6434268725069263
43,42.94,1.6322420850584778
44,45.12,1.6631654274614551
45,39.49,1.6892136803156212
46,38.55,1.750964879989624
47,46.87,1.55979649628265
48,28.37,1.9062136079691634
49,47.03,1.588629831241656
