round,accuracy,loss
0,10.0,4.592830132834519
1,14.95,2.575041749809362
2,13.39,2.615919221805621
3,10.09,2.8162546851966956
4,29.26,2.0753506422042847
5,12.64,3.654469028303895
6,32.61,2.39898354494119
7,20.16,2.9350234134287776
8,25.55,2.5723834218858164
9,31.83,2.027650492100776
10,21.91,2.9362517731099187
11,39.62,1.744982153554506
12,32.15,2.2312091966218586
13,40.78,1.881444378744198
14,23.54,2.4731116234501704
15,40.58,1.924858972996096
16,16.09,3.8391469128524203
17,25.71,2.110146813754794
18,14.57,3.752432877504373
19,24.18,2.34393341631829
0,10.0,4.822375973568687
1,17.58,3.113326114944265
2,21.76,2.4588876706135423
3,16.76,2.48122174226785
4,11.29,2.9495393143424504
5,15.04,2.6782712151732624
6,16.72,2.459463418284549
7,11.0,4.198578366750403
8,13.96,3.1252410713630385
9,10.14,2.904658236081087
10,17.73,2.6847419527512564
11,28.81,2.407271990293189
12,20.1,2.7908668729323374
13,30.58,1.9431315569937984
14,29.19,2.0755000038992
15,34.46,2.196118139013459
16,34.63,1.9349790283396273
17,36.94,2.185766609409187
18,32.2,2.429662635054769
19,39.61,1.724661362322071
20,39.15,2.1853648876842064
21,38.04,1.8402332158028325
22,24.57,2.9563836176184157
23,39.12,2.0398932544490957
24,24.6,2.9704096196572993
25,35.91,1.893520150003554
26,38.18,2.554399389254896
27,37.22,1.9515647978722295
28,43.06,1.8225675745855403
29,42.19,1.6387653169752676
30,16.07,3.8590564395807965
31,46.87,1.7437044065209883
32,40.84,1.8145790326444409
33,44.26,1.690170787557771
34,43.66,1.9015821112862117
35,48.7,1.469403144679492
36,41.95,1.9087343125403682
37,32.17,2.111062510104119
38,44.97,1.8798133104662351
39,47.83,1.6782450449617603
40,49.2,1.4342632520047924
41,42.35,2.4156144766867915
42,41.85,2.391070073163962
43,27.9,2.5767516033558904
44,24.61,2.906565777863128
45,37.01,2.0207618610768376
46,24.81,2.7526087217693087
47,37.72,1.8834928228885313
48,38.92,2.4767404507987107
49,29.17,2.343534650681894
